N,random_walk,max_degree,min_degree,preferential_attachment
100,177.71,959.2816000000001,361.8788000000002,279.2248
127,174.98,983.3333999999999,355.89079999999973,370.0324
163,185.14,977.7445999999997,376.7490000000001,437.43100000000015
209,362.7,991.6167999999997,333.03660000000013,474.59649999999965
268,307.97,992.7146000000002,352.298,540.2874999999998
343,469.58,994.9101999999999,378.5454000000001,579.2441000000001
439,678.61,994.7106000000002,327.4477999999999,628.8946
562,640.34,993.7126000000003,311.77919999999995,692.1131000000001
719,918.98,994.7106000000002,356.4895999999997,720.0350999999996
921,1319.32,997.505,361.4796,767.5884
1178,1749.17,995.2096,360.5814000000001,801.9395999999998
1508,2222.8,999.0020000000001,373.35579999999993,799.7793
1930,2829.09,996.507,368.86480000000006,831.4712999999996
2470,3331.35,997.9042,367.6672000000001,861.2293000000005
3162,4501.7,998.0040000000001,373.75500000000005,861.9685000000002
